frame,id,left,top,width,height,confidence,x,y,z
0,0,882.263,92.697,55.811000000000035,47.536,0.906,-1,-1,-1
0,1,1179.756,101.191,48.682000000000016,54.403999999999996,0.936,-1,-1,-1
0,2,928.162,79.277,82.27599999999995,66.508,0.665,-1,-1,-1
0,3,1288.141,359.726,225.81799999999998,176.56000000000006,0.997,-1,-1,-1
1,0,882.13,92.709,55.86400000000003,47.51599999999999,0.903,-1,-1,-1
1,1,1179.806,101.222,48.628999999999905,54.331,0.937,-1,-1,-1
1,2,928.019,79.331,82.44600000000003,66.52999999999999,0.663,-1,-1,-1
1,3,1288.148,359.709,225.808,176.57800000000003,0.997,-1,-1,-1
2,0,882.003,92.698,56.004999999999995,47.53699999999999,0.903,-1,-1,-1
2,1,1179.803,101.243,48.62200000000007,54.30000000000001,0.935,-1,-1,-1
2,2,928.027,79.43,82.40899999999999,66.417,0.665,-1,-1,-1
2,3,1288.376,359.701,225.45499999999993,176.514,0.997,-1,-1,-1
3,0,883.627,92.523,54.139999999999986,47.81800000000001,0.894,-1,-1,-1
3,1,1179.838,101.45,48.71199999999999,53.646,0.91,-1,-1,-1
3,4,907.794,95.696,32.58100000000002,45.471000000000004,0.767,-1,-1,-1
3,2,928.397,79.143,81.97799999999995,66.999,0.653,-1,-1,-1
3,3,1289.67,361.351,224.29099999999994,176.56399999999996,0.998,-1,-1,-1
4,0,884.938,92.852,52.525999999999954,47.516999999999996,0.898,-1,-1,-1
4,1,1179.639,101.801,48.912000000000035,52.82600000000001,0.862,-1,-1,-1
4,2,928.31,79.078,81.93700000000001,67.21599999999998,0.663,-1,-1,-1
4,3,1289.641,361.629,224.413,176.48799999999994,0.998,-1,-1,-1
5,0,883.961,92.817,53.56700000000001,47.55,0.903,-1,-1,-1
5,1,1179.682,101.766,48.819999999999936,52.87599999999999,0.858,-1,-1,-1
5,2,927.066,78.283,86.16100000000006,66.509,0.689,-1,-1,-1
5,3,1287.319,361.728,229.4079999999999,178.15799999999996,0.997,-1,-1,-1
6,0,884.399,93.011,53.03200000000004,47.27799999999999,0.902,-1,-1,-1
6,1,1178.29,101.661,49.871000000000095,52.127999999999986,0.879,-1,-1,-1
6,5,915.042,92.939,29.27800000000002,46.43600000000001,0.516,-1,-1,-1
6,2,928.272,79.117,82.09299999999996,67.027,0.675,-1,-1,-1
6,3,1289.771,361.34,224.183,176.96800000000002,0.998,-1,-1,-1
7,0,883.181,93.107,53.74000000000001,47.15899999999999,0.908,-1,-1,-1
7,1,1178.665,101.685,49.51099999999997,51.99600000000001,0.88,-1,-1,-1
7,5,908.726,95.771,31.677999999999997,45.26100000000001,0.778,-1,-1,-1
7,3,1289.965,361.727,224.3710000000001,176.606,0.997,-1,-1,-1
7,2,927.956,77.68,83.89999999999998,67.922,0.729,-1,-1,-1
8,0,878.743,93.027,61.28099999999995,48.09000000000002,0.914,-1,-1,-1
8,1,1180.197,101.9,48.194999999999936,52.855999999999995,0.871,-1,-1,-1
8,5,907.75,95.879,32.26599999999996,45.332999999999984,0.791,-1,-1,-1
