frame,id,bb_left,bb_top,bb_width,bb_height,conf,x,y,z
535,0,572.3984375,72.13936614990234,87.15606689453125,71.32767486572266,0.9999939203262329,-1,-1,-1
535,1,928.3713989257812,77.93247985839844,83.73760986328125,67.66238403320312,0.9999904632568359,-1,-1,-1
535,2,654.2355346679688,193.5573272705078,156.01080322265625,115.30030822753906,0.99998939037323,-1,-1,-1
535,3,1285.638427734375,149.0010223388672,245.9327392578125,117.46665954589844,0.999985933303833,-1,-1,-1
535,4,575.7965698242188,429.44805908203125,252.8692626953125,206.21673583984375,0.9999822378158569,-1,-1,-1
535,5,1284.7569580078125,363.05010986328125,229.378173828125,181.671142578125,0.9999806880950928,-1,-1,-1
535,6,1176.143798828125,80.02692413330078,75.699951171875,91.87857818603516,0.9999762773513794,-1,-1,-1
535,7,911.9291381835938,92.11589050292969,59.54669189453125,51.6202392578125,0.9999420642852783,-1,-1,-1
535,8,893.3397216796875,93.70795440673828,50.4073486328125,50.46172332763672,0.9999407529830933,-1,-1,-1
535,9,877.059814453125,106.58177947998047,49.61468505859375,36.988792419433594,0.9999150037765503,-1,-1,-1
536,0,572.6114501953125,71.78507995605469,86.95013427734375,71.70248413085938,0.9999942779541016,-1,-1,-1
536,2,655.1849975585938,195.49468994140625,157.24908447265625,118.43832397460938,0.9999899864196777,-1,-1,-1
536,1,928.803955078125,77.9141616821289,83.3975830078125,67.62215423583984,0.9999898672103882,-1,-1,-1
536,3,1282.968017578125,149.8968963623047,244.7496337890625,116.23307800292969,0.9999872446060181,-1,-1,-1
536,5,1284.4803466796875,363.048583984375,229.7362060546875,181.47796630859375,0.9999808073043823,-1,-1,-1
536,4,573.0970458984375,441.6600341796875,256.82489013671875,207.979736328125,0.9999805688858032,-1,-1,-1
536,6,1176.1212158203125,80.09013366699219,75.566650390625,91.63648986816406,0.999976634979248,-1,-1,-1
536,7,912.101318359375,91.9963607788086,59.56536865234375,51.82897186279297,0.9999492168426514,-1,-1,-1
536,8,893.3284912109375,93.49958038330078,50.5982666015625,50.749656677246094,0.9999375343322754,-1,-1,-1
536,9,877.2353515625,106.60165405273438,49.45733642578125,37.063720703125,0.999901294708252,-1,-1,-1
537,10,557.432861328125,93.083251953125,104.834228515625,75.38449096679688,0.9999949932098389,-1,-1,-1
537,1,928.1561889648438,77.90132904052734,84.05517578125,67.26970672607422,0.9999903440475464,-1,-1,-1
537,2,654.4990234375,198.94140625,159.90057373046875,119.22869873046875,0.9999885559082031,-1,-1,-1
537,3,1278.6053466796875,150.28579711914062,244.3468017578125,116.61767578125,0.9999865293502808,-1,-1,-1
537,5,1283.918701171875,362.760498046875,230.377685546875,181.57928466796875,0.9999815225601196,-1,-1,-1
537,4,571.622314453125,453.03338623046875,259.026123046875,210.8756103515625,0.9999785423278809,-1,-1,-1
537,6,1176.011474609375,80.05657196044922,75.663818359375,91.81888580322266,0.9999771118164062,-1,-1,-1
537,8,893.5635375976562,93.04547119140625,50.52899169921875,50.61088562011719,0.9999384880065918,-1,-1,-1
537,9,877.3489379882812,106.63085174560547,49.443115234375,36.81714630126953,0.9999074935913086,-1,-1,-1
537,7,912.38134765625,91.37397766113281,59.27947998046875,52.49247741699219,0.9984351992607117,-1,-1,-1
538,0,572.365966796875,71.3564682006836,87.0194091796875,72.18775177001953,0.9999946355819702,-1,-1,-1
538,1,928.4058837890625,77.86577606201172,83.83465576171875,67.2952651977539,0.9999905824661255,-1,-1,-1
538,2,653.7442016601562,202.64260864257812,160.72491455078125,119.48330688476562,0.9999889135360718,-1,-1,-1
538,4,563.22265625,463.285400390625,266.0272216796875,216.39691162109375,0.9999841451644897,-1,-1,-1
538,5,1283.8431396484375,362.4161682128906,230.628662109375,182.01022338867188,0.9999816417694092,-1,-1,-1
538,3,1269.0999755859375,150.63327026367188,246.3863525390625,118.22442626953125,0.9999806880950928,-1,-1,-1
538,6,1175.9901123046875,79.89469146728516,75.66259765625,91.86536407470703,0.9999758005142212,-1,-1,-1
538,8,893.349853515625,92.93733215332031,50.775146484375,50.76890563964844,0.999936580657959,-1,-1,-1
538,9,877.0490112304688,106.57414245605469,49.552978515625,36.76893615722656,0.999886155128479,-1,-1,-1
538,7,912.666015625,91.87905883789062,58.40771484375,51.63948059082031,0.9997338652610779,-1,-1,-1
539,0,572.1102294921875,71.76944732666016,87.13409423828125,71.66429901123047,0.9999948740005493,-1,-1,-1
539,1,928.3441772460938,77.88546752929688,83.54156494140625,67.10093688964844,0.9999909400939941,-1,-1,-1
539,4,558.7300415039062,474.46148681640625,268.95770263671875,221.06536865234375,0.9999842643737793,-1,-1,-1
539,2,654.1129760742188,206.94239807128906,162.90655517578125,120.07289123535156,0.9999842643737793,-1,-1,-1
539,5,1283.5167236328125,362.1895446777344,231.1761474609375,182.52536010742188,0.9999821186065674,-1,-1,-1
539,3,1261.4449462890625,150.7034454345703,245.3551025390625,119.83363342285156,0.9999743700027466,-1,-1,-1
539,6,1176.0606689453125,80.36224365234375,75.9471435546875,91.20433044433594,0.9999725818634033,-1,-1,-1
539,8,893.0838012695312,93.07296752929688,50.77813720703125,50.53239440917969,0.9999483823776245,-1,-1,-1
539,7,911.8375244140625,91.572265625,59.50152587890625,51.75660705566406,0.9999376535415649,-1,-1,-1
539,9,876.87158203125,106.5302734375,49.82659912109375,36.80867004394531,0.9998894929885864,-1,-1,-1
540,0,572.2264404296875,71.71294403076172,87.02252197265625,71.7607192993164,0.9999948740005493,-1,-1,-1
540,1,928.3712158203125,77.880126953125,83.55059814453125,67.08741760253906,0.9999909400939941,-1,-1,-1
540,4,549.8078002929688,487.2855224609375,277.892333984375,225.84796142578125,0.9999856948852539,-1,-1,-1
540,2,654.581787109375,211.1900634765625,164.28021240234375,121.05953979492188,0.9999837875366211,-1,-1,-1
540,5,1283.5284423828125,362.3116149902344,231.2886962890625,182.49252319335938,0.9999822378158569,-1,-1,-1
